Negative_words,Frequency
ambidextrous,1
warrantythe,2
characters,1
module,1
$17600,2
hours,72
unnecessary,2
christmas,13
40,3
$132,1
screwed,1
contacting,5
excellent,2
dont,25
betterthis,4
vnc,1
arrived,48
hdr,1
synced,1
programed,1
letdown,1
19,2
sastifecho,1
finger,5
non-original,2
unsatisfied,5
guys,6
easily,2
ship,6
bestbuy,1
awfully,1
technical,7
win8,1
tiny,1
m8,1
bono,1
handles,1
batteryi,1
house,2
first,56
swelled,1
htc,4
fraud,1
"party""",2
vendors,2
plan,11
hifor,1
frustrating,19
add,3
plunged,1
hereby,2
girl,1
raised,1
basically,11
sense,1
gimmick,1
anybody,1
inadequate,1
battery-,1
rebooting,3
niether,1
tres,1
nuebo,2
sends,4
outside,16
m2,1
wasted,26
type,8
talked,2
suddenly,7
didn't,126
experienced,1
adjusted,1
eligable,1
1-star,4
merging,1
hd,3
load,11
mdns,1
inthe,4
gliche,1
defective,27
marriage,1
can't,98
english,9
expect,14
torch,3
empezo,1
yeah,2
90,4
unexpectedly,2
out-of,1
mini,7
systemwhich,1
hits,2
icound,1
pods,1
series,1
neat,3
jacked,2
activating,6
liked,1
stem,1
operator,2
double,2
overpriced,2
toy,1
operational,1
six,1
countries,4
rest,2
yellow,4
unhappy,25
chargei,1
fuctional,1
"""certified",2
leave,7
mentions,2
fever,1
pulling,2
regular,5
-_-what,1
cradle,3
2weeks,5
erased,1
cuts,7
estafaron,1
enviè,1
200$but,1
floor,2
codes,1
wow,1
selling,15
yet,18
compare,1
music,20
packing,1
spins,1
defender,1
install,4
circle,1
strip,1
player,2
us,22
offline,1
peel,1
yesterday,6
retur,1
sim,122
doesnt,9
refreshed,1
october,4
buy,218
kindergarten,1
reasoni,1
prepaid,5
$75,1
cons,1
telèfono,1
application,2
solutions,6
isbroken，the,1
recourse,2
appreciated,1
themhopefully,1
otterbox,6
lemon,2
shall,3
echoing,1
everywhere,1
india,5
promised,18
surprised,4
smartphones,1
populate,3
becuz,2
incompatibility,1
transfer,3
whereas,2
check,33
partially,2
much,52
receive,45
streaming,1
alcatel,23
marketing,2
karma,2
around,16
consumers,1
bc,4
place,10
one，and,1
centerthis,1
supposed,26
pricelove,2
100,4
heating,1
arañazos,2
"""used""",2
p[purchasing,1
wrong,81
producto,2
wakes,2
knew,6
angles,2
recieves,3
chunck,2
compensate,2
shocking,2
happen,11
monthhowever,1
look,19
tiene,1
username,2
built,3
cutting,5
printer,1
altered,1
back,220
define,1
theoretical,1
respondienron,2
702,2
downloads,4
cheated,6
four-year-old,1
sounding,1
warning,3
dice,1
november,3
exposed,1
difficult。so,1
sent,78
wary,4
three,23
removing,3
win7,1
taking,9
live,11
6$,2
directly,4
holiday,1
inwaste,2
non-intuitive,1
rec'd,1
hasnt,3
fortune,3
sleek,1
sale,3
hour,30
directional,1
nuevo,1
runto,1
breaker,1
snapdragon,1
"""metro",1
pcs,4
phones,92
search,3
work,352
rarely,2
blatant,1
several,30
easilyplease,1
forgo,1
havent,1
recheck,1
"service""",1
knock-off,3
virus,5
'''this,1
awayas,1
logic,2
assume,2
ridiculously,3
make,90
emailsover,1
comparable,1
prices,3
goods,2
adjust,2
tampered,2
return apple,2
posts,1
simply,5
colors,3
don't,184
leaving,5
fallar,1
response,11
lastly,3
"""unlocked""",2
matter,5
man,5
employee,3
reviewing,2
scheduling,1
performed,6
solving,2
excited,11
inspire,2
discription,5
question,2
colombia,2
blacklisted,3
preventing,1
wanted,24
"""pig-in-a-poke""",1
goodsit,1
reburbished,1
deep,1
stereo,2
erroneous,2
damage,26
machines,2
browse,2
purposefully,1
messes,1
placed,8
records,1
information,23
machine,1
color,10
available,2
resurrecting,1
solution,7
download,12
zero,12
downgraded,1
depreciation,1
needless,5
birthday,17
$70,1
mobile,43
forced,2
barrel,4
amazingly,3
uk,1
rio,1
addresses,1
received,115
gms,1
rugged,1
pissed,8
😭😭,2
italy,1
"hardware""",2
returned,73
carriers,5
edited,1
mí,2
rep,6
probably,17
usablei,2
accounts,1
accessing,2
luckily,2
slightly,6
specks,1
discharged,2
enter,1
keys,5
amazon's,2
phoneis,1
command,1
disastrous,1
page,7
shockedi,2
general,1
argentina,6
kinds,2
left,19
pushed,1
witch,2
hiccups,1
without,43
ever,66
thingy,3
diffult,1
neww,1
ain't,1
crashed,6
serve,3
travelling,2
decision,1
workingthe,1
bash,1
pronto,1
lil,4
damages,1
res,1
pleas,2
differently,2
sell,34
downloading,3
deception,3
guy,15
letters,5
callscreen,1
turning,16
additional,4
usada,1
kik,1
thatlike,1
piss-poor,1
progressively,1
2011,2
16gb,14
location,2
errorthis,1
canot,2
countrywhen,2
helpless,2
consistently,2
32mp,1
"""refurbished",1
learned,5
$90,3
pulled,4
damagebut,1
mei,1
peach,3
recieved,6
twitterfreakin',2
helpful,1
cost,14
verizoni,3
explained,2
ihpone,1
sellers,4
knowing,7
announce,1
costsbecause,1
receiver,3
automatically,3
outrageous,2
either,31
amazing,4
awesome,1
boycott,1
chinglish,1
150,1
lived,2
isthere,1
informs,4
conversation,2
faulti,1
reboots,1
charge,196
stuck,16
rootingphone,1
wash,2
havimg,3
options,6
access,10
photos,3
ok,2
relief,1
seemingly,1
consumption,3
restarts,3
handset,1
goodgreat,2
centipede,1
confirm,1
problemi,3
esa,1
yr,4
year,31
currrently,1
local,6
million,1
4show,1
garbage,18
"""incl",1
followed,3
corrected,1
unplugging,2
father,3
purchasewhat's,1
janurary,4
mutes,2
videosno,1
sending,15
dials,1
tmobile,5
couldn't,50
mr,1
"unlocked""",1
sketching,1
grainy,1
screen,231
miss,8
vantage,1
itcurrently,1
"up""",1
technologyanother,1
say,59
still,82
timely,3
deleted,5
become,7
tough,3
fast,19
function,12
selfie,1
front,7
badlysim,1
port,10
sync,2
led,1
warehouse,8
supports,3
telephony,1
obvious,5
line,14
buzzhum,2
om,2
itemyour,1
greetings,2
landed,1
genius,3
bk,2
holding,8
hate,42
n't,1
loss,1
moving,4
removable,1
dangerous,1
unknown,1
folkssomewhere,1
scrach,1
already,38
primero,1
item's,1
particular,4
kept,22
asking,3
$us67,1
outi'm,2
operation,2
receiving,16
powers,4
intended,1
bootlegged,1
bloatware,2
iphone5,1
input,1
seriouslyif,1
town,3
plain,1
negligence,1
acct,1
nationwide,1
116th,1
dischargeddoesn't,1
thoroughly,2
loud,8
simm,3
inerdz,1
monthsthis,1
noone,1
limit,1
cannnot,1
attached,5
tries,5
initially,1
low,24
expectations,10
displeased,4
straw,2
belong,1
17,2
mind,5
utem,2
express,1
taping,1
q,4
l,1
alluminium,1
embarrassing,1
marketed,3
seria,1
identified,1
threw,4
authenticity,2
grandson,1
wicked,1
flaws,3
"carrier""",2
devicesotherwise,1
mile,1
64gig,1
bien,1
cover,10
7th,1
cause,12
programming,3
"""cheaply""",3
tomorrow,3
mess,3
webpage,1
way,60
nunca,1
attrition,2
replica,1
controlled,1
inside,9
brook,1
ton,1
aolcom,2
fari,4
handgood,1
drove,1
metro,2
sonangry,2
reinstall,1
stored,1
slack,2
replaces,2
runs,8
peace,5
transferred,2
dropping,3
seen,2
nokia,4
shock,3
hint,2
6200,1
peddlers,4
returnmy,1
needs,11
comes,17
example,1
inexpensive,2
earn,1
fickle,2
deletes,3
rip,2
must,15
unresponsive,9
mailing,2
posted,5
stepping,2
hardware,4
itunes,13
despite,17
phonei,3
nice,10
upsetting,3
sticking,1
pencil,1
110,3
yes,2
useful,6
15,11
someone's,2
won’t,4
housegreat,1
navigatethe,1
badwifi,1
2012,3
def,1
order'so,1
deals,3
unblocked,6
batterythe,1
itseld,2
cantidad,2
happened,7
batt,3
housing,2
frame,1
siri,7
champ,1
require,3
shipment,4
worth,16
texas,2
doesn't,121
establishment,2
50,6
somewhere,7
publish,1
metal,4
1%,5
mom,6
take,54
anal,1
hesitantly,1
headlines,1
feel,14
de,16
hard,48
suite,1
marred,1
outdated,7
imagerca,1
watch,3
eyesight,3
$180,1
updated,4
baterìa,1
establish,1
restocking,1
listing,4
diferent,1
random,18
act,4
tolerates,1
wrote,9
backlight,2
userproblems,1
obligate,3
next,22
r11finol@hotmailcom,2
antiquated,1
description,31
podía,2
lovers,1
sensor,5
simplify,1
undoubtedly,1
pay,52
por,1
wearyellowing,1
hadit,1
savvy,1
straight,16
items,5
appsso,1
connections,2
facebook,5
sido,1
a16gb,2
resets,3
at65,2
foreign,4
👎👎👎,1
boton,1
lender,1
mass,4
rate,9
process,17
issues,50
stripped,4
"market""i",2
fulfilled,5
stock,2
pathetic,7
fail,7
phoneafter,2
instantaneously,3
published,2
reached,2
swindlers,1
400,1
unless,23
stayed,2
20%,3
speed,5
accordingly,2
reasons1,1
isn't,19
1080,1
messing,3
ended,15
similarly,3
callsand,1
simulator,1
cool,4
worried,1
silenced,2
except,13
route,2
uses,3
book,1
$109,1
remove,11
"""no",1
correct,9
eurosand,1
smell,1
mileage,1
caller,1
onei,1
"""senior""",2
came,104
experiencing,6
smartphone,4
continuosly,1
exchange,3
alternative,1
onh,2
4s's,1
lastly--it,4
boise,1
premium,2
text,24
stream,2
barcelona,1
irritates,1
outthey,1
perfectly,1
serves,2
itand,2
visually,2
ha,1
risking,1
pictures,25
persons,1
portal,2
ware,2
bubblewrap,1
flushing,1
verizon,167
moved,5
long-time,1
cut,3
purple,3
places,4
partsdo,1
telefono,2
tool,3
priced,2
possibly,9
register,6
productthe,1
reconsider,2
malfunctioned,2
ur,1
-,70
keeps,9
hereproduct,1
fixex,1
subsidiary,1
crusty,2
designed,1
recommendsee,1
bend,1
history,1
knocked,1
mark,1
cousin,3
protector,5
terrible,60
height,1
capability,3
attorney,1
agout,1
refurbed,4
consideration,1
features,5
issuewould,2
beware---cutting,1
travel,1
she'll,1
shipped,7
handled,3
erratically,1
presented,4
exchanging,1
así,2
retured,1
buds,1
mode,7
2g,3
instance,1
againif,2
t-mobile,41
installing,1
endemic,1
iphone5-,1
exactly,4
advertisingphone,2
miserable,1
like-new,1
promptly,4
"""rooted",1
unlocks,1
interface,1
illegal,2
alot,7
forgotten,1
ecelent,1
edges,5
boost,1
tied,1
hi,1
devices,4
reason,21
gen,2
mouse,1
"""emergency",1
intuitive,1
cleared,3
regret,7
international,3
malfuntioned,1
inopportune,1
"say""this",2
simi,1
bough,2
david,1
descent,3
job,4
insist,2
batteryvery,1
functionality,3
tendency,2
true,3
stopping,1
using,53
occasionally,1
functions,8
hope's,2
result,8
unprofessionalwe,3
phonesbeware,2
sells,2
program,3
cellular,5
action,3
decomposing,2
abiut,1
met,2
pos,3
reasoned,2
seem,7
searching,8
vegas,1
battering,1
"""issues""",1
customers,3
etcgreat,1
hangs,3
sd,6
cytus,1
lcd,2
trusting,1
moto,3
blocks,2
iphone4,2
proceed,3
seniors,2
technicians,4
conceal,2
arrives,6
pjone,1
im,15
electrical,1
list,8
disappointing-,2
keyboard,7
across,2
keeping,2
work3,1
shield,2
full,29
"""used""on",2
nuts,2
phone--,4
desparately,2
ones,14
warned,3
website,8
loads,1
$68,1
instructions,14
parts,10
demand,1
chipped,3
8mp,3
normally,6
various,3
spots,5
360mobile,2
shipping,25
least,29
phoneat,1
searched,2
acts,3
f,1
following,4
manufacturer,3
central,2
911another,1
necessary,3
understanding,1
two,89
30%,8
2011and,2
decided,6
jobs,1
hello,2
altogetherif,1
phonekeep,1
thatvsays,1
emergency,5
reset,17
google,15
funky,1
ands,1
8th,1
maxi,3
"new""",10
noticed,19
disrespectfull,3
unloocked,2
oh,7
inconvenient,3
loaded,1
84,1
ratinghow,2
damaged,19
discoloration,1
painfully,1
expectation,7
form,7
soooo,1
surely,2
believe,15
background,4
new,240
nexus,1
setting,8
bezel,2
diabolical,1
star,21
timebut,1
$100,11
slot,15
trap,1
noise,2
screened,1
pressing,2
causing,6
dark5,1
solid,5
accesories,4
less,63
alright,2
curious,2
lens,3
en,1
inquiry,1
even,184
droid,4
otter,4
flaky,1
pack,2
"play""",1
tons,1
98,1
itthe,4
charges,9
hates,2
completely,45
waited,5
cells,2
"""quag's",2
talkthe,1
alittle,1
llego,4
recent,3
scrapped,1
clock,1
tells,3
goodsfeeling,1
wear,3
quickly,18
properlyeven,2
"face""",1
itune,4
nervous,2
telcel,1
second-hand,3
uninstall,1
phased,1
workworst,1
agree,4
hope,17
use,195
unfair,1
listen,9
boooooooo,1
decently,1
disclose,1
strait,3
i'm,116
onas,1
youim,2
"""defective",2
cycled,1
for-,3
expecting,7
m1,3
compleatly,1
stratches,5
maxed,1
usedlockedi,1
cellphone,9
stopped,67
direct,1
terrificthe,1
malas,2
upon,11
daughter-in-law,1
apparently,9
cannot,45
​​the,1
deceiving,1
non-existent,2
turned,31
gigs,2
hell,3
light,10
26,4
>>,1
telephone,2
deal,12
childhood,1
"""unlockedworks",1
needing,1
acceptmy,2
$19900,2
immediately,12
today's,1
ver5,1
thought,26
careful,13
cel,1
hangup,1
65,1
thatthis,1
andeven,1
fixed,20
holidays,1
clarity,1
possible,11
&,22
costs,2
digit,1
lasting,1
offered,4
gigor,1
durability,1
fact,25
providers,1
bin,3
detect,1
sign,2
responce,3
complex,2
part,23
resolving,2
starting,2
concern,1
para,5
acctually,2
jack,10
stores,3
current,3
silent,3
sometime,2
bills,1
stating,1
verison,2
brand,34
exist,1
🎤,1
toddler,3
goto,1
words,1
appear,7
ray,1
answer,10
nov,1
switching,1
re-bootingthe,1
decepcionado,2
april,4
we've,1
lied,3
launches,3
"refurbished""",4
housethis,1
repairtwo,1
logs,2
renovatedthe,1
sin,2
walking,1
vol,1
uncomfortable,2
hater,1
discontinued,2
opposed,2
updates,7
disappoint,4
deceptive,2
mostly,5
kicking,1
product,202
instead,21
dust,2
contract,4
flashlight,1
energy,1
relative,2
third,6
starall,1
gato,2
16%,2
capable,3
earpiece,5
"network""",1
aligned,1
overcome,1
os,7
"""more""",1
baited,3
far,25
believed,1
requested,5
quiet,2
sadly,5
internal,12
sprint's,1
camera,65
fhone,2
connection,8
computerthe,1
slipped,1
rear,1
month,55
responsible,3
happend,2
belongs,1
upthe,2
best,2
a850,3
twenty,2
meets,3
translator,1
together,3
something,45
continuously,6
lightgreat,1
daughter,17
lado,2
beyond,5
phons,1
jumps,1
forth,3
samsung,12
techniques,2
tracphone,1
fragile,1
amzn,2
agreed,4
build,1
need,60
crack,9
flashed,2
change,41
stage,1
bff,1
alcatel's,2
"""factory",5
centers,1
pixels,1
rooting,1
latter,3
smoothly,1
speaker,61
bar,3
whatever,4
gamble,1
nearly,3
company,47
bad,391
ruining,3
black,54
muffled,1
released,8
las,1
nothing,40
holder,2
mute,1
169,2
pick,7
school,1
prior,3
sload,1
editing,1
at&t,58
700mhz,1
manufacturers,1
super,18
"""nice""",1
package,15
daughters,11
itdefectivei,2
thank,24
thick,1
purchases,3
established,1
producing,1
tlf,6
productmust,4
pad,3
specified,2
windowwith,1
supposedly,3
different,27
becaus,1
rather,5
starts,1
1,33
inspection,3
onto,6
32gb,10
ipad,14
turn,81
closing,1
ipad3,1
proven,1
may,29
represented,1
productsim,3
los,2
phonehoping,1
tell,18
lightning,2
anymorei,2
coz,8
navigate,2
main,5
going,49
social,2
earphones,2
entering,1
comparing,3
profile,1
could've,2
shady,2
recording,2
'smart,1
correctly,9
shutting,2
unacceptable,7
chargingi,1
productshad,1
advertises,1
backplate,1
meet,13
boyfriend's,1
overall,20
stickers,3
3000,4
bought,239
screams,1
bottom,18
rival,1
hookup,2
putting,2
existent,1
workingseems,1
approach,1
unneeded,1
phonethen,1
cdma,7
sick,1
anythinh,1
tea,1
evidence,1
researching,1
una,2
temper,2
offon,1
gamesapps,1
defining,2
fiasco,3
freeze,5
compared,2
presents,4
everything,40
bothered,4
nerves,1
aluminium,1
installed,4
sucked,3
60,4
contact's,2
amazon,120
nada,1
sequence,1
disney,2
advirtising,1
embedded,1
paid,40
"phone""",4
upfront,2
fell,4
inventory,2
march,4
public,2
wasn't,39
rid,4
programmed,3
called,13
bandsstylish,1
lonely,2
volume,25
moneynever,1
greatcould,1
title,5
practices,2
cuz,3
eating,3
lags,1
substance,1
g,3
aand,2
corrupted,1
totally,24
spelt,1
moreover,2
serail,1
errors,1
buttons,27
does'nt,6
dead,65
document,1
satisfied,3
weird,8
incoming,5
$80,7
home,74
huh,1
discovered,9
it'll,3
definetely,3
macbook,1
give,53
compatible,20
becuase,2
networks,1
tablet,1
it`s,1
posting,1
station,1
landscaper,1
scratch,6
hassle,13
invoice,1
threatened,1
compliant,1
graduation,1
4x,1
unavoidable,1
"functional""",1
significant,4
cheep,1
reboot,3
adhesives,1
fidnt,1
nobody,3
concerns,3
ipod,4
weather,1
shattered,2
began,7
happening,4
itll,2
habia,1
fifty,3
usedrefurbished,2
importantly,1
repairreturn,1
moble,1
easilyupdate,1
stolen,31
ustedes,1
scamma-lamma-ding-donging,2
'have,2
"limit""",1
production,1
perticular,1
audio,9
conveniently,4
rejected,3
ignored,1
"""apple",1
ever😡😡😡😡😡😤😤😤😤😤😤😤😤😤😤😤😤😤😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,1
messager,1
giant,2
14000,1
supplier,4
"""i",1
managed,6
top,15
n,9
z,1
faceitme,2
sucks,33
wrap,4
crevices,1
meeting,1
techs,1
hv,5
connectivity,4
appreciate,4
hundred,3
assembly,1
ugh,4
3rd,4
cuando,1
bugs,2
basics,1
stated,8
irresponsibility,2
post,4
meticulus,1
defectiveit,1
strictly,1
7's,3
negative,17
light-leakingin,1
yell,1
custom,2
intentions,1
loves,15
gives,3
ruined,1
expedited,2
302,3
whole,13
100%,18
complaints,9
ive,5
paralyzed,1
worked,84
rock,1
30,16
pre,1
inferior,1
fall,4
charged,38
conventional,1
fill,1
temporarily,1
talking,9
problem,114
recivi,2
alarm,3
noisy,1
glitching,5
aboutwhat,1
tribute,4
cards,7
trust,15
bind,2
ut,2
space,5
based,5
worseits,1
hournone,4
restarting,6
crashing,2
70s,1
purse,2
"""locked",2
human,2
wi,4
suggest,3
evaluates,1
annoys,1
prison,1
powering,2
120,2
difficulties,1
via,10
similar,4
grime,1
themfirst,1
heck,2
ffreeze,1
switches,1
cracks,2
hated,5
seemed,2
answersisinserly,2
road,2
newsi,1
okay,7
bring,11
people,53
diddle,1
min,5
costly,1
$45,2
fantastic,1
newly,1
we're,3
large,4
frozewouldn't,1
outstanding,1
ass,2
butit,1
touched,1
touch,30
research,4
go,54
workingwithout,1
unclear,1
5-star,2
tip,2
hook,3
kind,8
stubborn,2
pull,4
little,66
network,31
fear,2
adequate,4
girlfriend,6
beep,2
overnight,2
separated,2
city,1
stand,5
big,29
200,4
onthen,1
run,12
presses,2
30+%,2
struggling,2
scammed,3
perdi,1
asked,22
pops,3
plane,1
sweet,1
haveing,2
fan,2
dissatisfied,8
20-30%,2
wire,3
64-gb,2
unsent,2
forever,7
viruses,1
additionally,7
backmy,1
support,31
wordit,1
overwritting,1
invested,1
actually,23
proof,1
flicker,1
etc,9
airplane,3
boot,3
51,1
calls,68
coundnt,1
although,7
poorly,7
dried,2
scatches,3
icloud,4
fair,1
standing,1
tested,10
god,4
twice,15
trick,1
alsoprice,1
known,6
"""downloaded""",2
regularlyi,1
3-way,2
cop,1
"""bricked",1
trying,52
reps,2
thisit,1
funcionar,1
booklet,1
stuff,10
naveh,1
"""new",2
belgium,1
shoppers,1
proble3m,1
snapchat,5
backsigned,1
sound,16
perfectlyall,2
estock,1
contactedt,2
re-sold,2
moderately,2
war,1
till,6
"fee""",2
compact,1
period,6
rode,2
speedit,1
forget,1
day,99
suspect,2
heated,8
saving,4
admit,1
rendering,3
pushes,1
2day,1
expensive,23
03,1
sam,1
400$,1
data,16
caused,1
extreme,1
speaking,3
7%,1
techarvard,2
round,3
"""refurbished""given",1
crashes,4
connectionapple,1
manuel,1
time,191
almost,38
conditionit,2
13ghz,1
alcateltwo,1
shadow,1
mic,7
inch,3
ipad2,1
otherwise,6
electrocution,1
due,29
tab,1
beginning,12
reasonsthe,1
"cost""so",1
allowing,1
"iphone""",1
contact,31
drawer,3
assured,1
last,56
booster,1
cord,14
file,3
"""exploded""",2
risk,2
performance,10
e-mailing,1
unsealed,1
saw,6
carddavid,1
pool,1
amazons,4
grossly,3
"reset""",1
significantly,1
un,4
killer,1
existing,3
sometimes,47
face,10
requirements,1
everyday,6
wireovia,3
held,1
unsuccessful,1
80%,4
lounge,2
breaking,5
included,7
hoursthe,1
genuinei,2
unauthorized,3
bit,24
plastic,11
phonebad,1
popping,2
base,7
found,43
whenever,2
craigs,1
size,5
difficulty,1
networkthe,1
complete,15
mis,1
half,30
operations,1
january,1
7,11
discouraged,1
so-called,1
phoneripped,1
june,2
fakedmeaning,3
28250,1
requesting,3
anyways,2
refused,9
present,3
nowt-mobile,1
rebuilt,4
linux,1
jailbroken,1
re-order,2
laughing,2
specifically,10
screens,9
[sprint],1
press,12
torrenting,1
voice,6
wiped,2
stays,3
id,2
click,5
@,1
user,13
kicks,1
minimal,1
75$,1
shopping,4
unfortunatly,1
root,3
trading,1
reasons,1
arrive,6
forgot,1
continue,2
asha,3
useless,58
dirt,3
happywith,2
others,4
eventually,9
themi,3
lo,2
difficult,25
message,15
beat,6
currently,5
happy,11
forward,1
attempted,7
switch,9
poeople,1
usai,2
optimal,1
continues,1
opinion,2
sold,34
wide,1
glitches,15
initialization,1
stinks,2
match--such,1
usado,1
confirmed,3
brazil,6
instructed,2
limited,2
disable,2
earheadphone,1
craig,1
supported,5
seconds,5
reining,2
blackberries,2
touchy,2
good,85
generic,2
heavy,6
fedex,4
disconection,1
wrong1,1
newmy,1
unfuntional-,3
happens,8
%,3
w,11
silly,2
pro,1
recommendation,1
balance,1
boom,1
sont,3
drastically,1
unusable,11
returnso,2
law,1
caught,4
usd,2
beggining,1
perfert,2
pink,5
surprise,2
alas,1
espero,2
"""idol3""",1
reaches,2
knock,3
every,40
demo,1
addressed,1
fr,1
displaying,2
pot,1
imagine,1
delete,5
callstext,1
correo,1
stole,1
vendieron,1
spanish,2
mailbox,1
timeone,1
furthermore,4
promoting,1
bogus,1
deducted,2
checked,11
chinese,17
receipt,5
sender,1
68%,3
global,1
rated,3
whywhat,1
max,2
attention,1
log,4
wtf,2
averìas,1
signed,1
falls,2
air,1
g3,2
goodsyou,2
connector,3
financial,1
shrink-wrap,5
respuesta,2
right,26
useit,1
thingi,1
badunfortunately,1
bulky,4
start-up,1
hearing,10
articulate,2
scratchs,1
confiar,2
raise,2
edition,1
since,47
family,4
fault,10
unpredictable,1
building,1
reward,1
banned,1
numerous,4
terriblly,1
noticeable,2
sens,3
"trade""",2
28%,1
issuebecause,2
picking,1
engough,2
hints,1
solved,1
"hip""",1
chokes,4
pros,2
r11finol@hotmailcompensé,2
$15,1
wasand,3
liers,2
$40,3
allowed,2
couple,24
75%,1
accessoryi,1
gov't,1
button,122
class,1
buyerbefore,2
technology,7
motorbike,1
would,285
"""oh",1
navigation,2
especially,10
beside,2
whatsapp,1
wasnt,6
48,1
break,8
disliked,3
5,61
looked,44
person,16
daños,2
didn,2
pristine,1
playing,8
truth,2
assuming,1
literally,9
reported,9
blurry,2
callstxtand,1
drained,4
marchas,2
within3,1
$60,4
devuelvan,1
compensation,5
info,6
tryin,1
cpu,1
toke,3
exists,2
eveything,1
orjust,2
numbers,5
failure,12
bye,1
83713,1
meaning,2
absolutely,17
50$,4
improved,1
"""locked""",1
purchase,91
record,4
toilet,2
"""new""",11
doesn`t,4
accountability,1
appit,1
